調査日,医療機関名,病院URL,緯度,経度,外来_平日,外来_土日,入院,救急
2020-03-19,医療法人すこやか　高田中央病院,https://www.sukoyaka.gr.jp/,35.5518,139.6201,一部制約あり,一部制約あり,一部制約あり,一部制約あり
2020-03-19,医療法人沖縄徳洲会　葉山ハートセンター,https://www.tokushukai.or.jp/introduction/facility/hp-hayama,35.2577,139.582,通常,通常,通常,通常
2020-03-19,十愛病院,http://www.jyuai.com/index.html,35.439,139.5493,通常,なし,通常,なし
2020-03-19,医療法人社団清伸会　ふじの温泉病院,http://www.fujino-hp.or.jp/hospital/html/index2.htm,35.5916,139.1325,通常,なし,通常,なし
2020-03-19,大和市立病院,https://www.yamatocity-mh.jp/,35.4868,139.4592,通常,通常,通常,通常
2020-03-19,湘南泉病院,http://www.hoyukai.org/shonan-izumi/byoin/index.htm,35.4419,139.5112,通常,通常,通常,通常
2020-03-19,医療法人社団三井会　伊勢原日向病院,https://i-hp.net/,35.4302,139.2915,通常,一部制約あり,通常,なし
2020-03-19,医療法人興生会　相模台病院,https://www.sagamidai.com/,35.5069,139.4281,通常,通常,通常,通常
2020-03-19,川崎市立多摩病院,http://marianna-tama.jp/,35.6198,139.5725,通常,通常,通常,通常
2020-03-19,相模原療育園,http://www.jikeiryouikukai.or.jp/,35.5437,139.4222,一部制約あり,なし,通常,なし
2020-03-19,医療法人社団昌栄会　相模大野病院,https://sagamiono-hospital.com/,35.5315,139.4388,一部制約あり,一部制約あり,通常,なし
2020-03-19,丘整形外科病院,http://orange.zero.jp/okahp.sky/,35.5143,139.4047,通常,通常,通常,通常
2020-03-19,太田総合病院,https://www.ota-g-hospital.com/index.html,35.5281,139.696,通常,通常,通常,通常
2020-03-19,医療法人仁愛会　近藤病院,https://www.kondo-hp.jp/,35.4445,139.3699,一部制約あり,一部制約あり,通常,通常
2020-03-19,総合相模更生病院,http://www.sagami-kouseibyouin.or.jp/,35.581,139.3727,通常,通常,通常,通常
2020-03-19,さがみ生協病院,http://www.sagami-seikyou-hospital.com/,35.5283,139.4293,通常,通常,通常,なし
2020-03-19,虎の門病院分院,https://www.toranomon.gr.jp/kajigaya/,35.5897,139.5997,通常,通常,通常,通常
2020-03-19,神奈川リハビリテーション病院,https://www.kanariha-hp.kanagawa-rehab.or.jp/,35.4402,139.2962,通常,なし,通常,なし
2020-03-19,社会医療法人ジャパンメディカルアライアンス　海老名総合病院,http://ebina.jinai.jp/,35.4474,139.3856,通常,通常,通常,通常
2020-03-19,医療法人社団若葉会　つづき病院,http://www.e-wakaba.jp/facilities/,35.5386,139.5484,通常,通常,通常,なし
2020-03-19,相州病院,http://www.soushu.jp/,35.5061,139.3088,通常,なし,通常,なし
2020-03-19,秦野厚生病院,http://www.hatanokousei.jp/,35.3701,139.272,通常,なし,通常,なし
2020-03-19,一般財団法人　鎌倉病院,https://kamakurahospital.or.jp/,35.3154,139.5347,通常,通常,通常,通常
2020-03-19,菊名記念病院,https://kmh.or.jp/index.html,35.5091,139.6348,通常,通常,通常,通常
2020-03-19,医療法人社団のう救会　脳神経外科東横浜病院,https://noukyukai.or.jp/,35.4862,139.588,なし,通常,通常,通常
2020-03-19,十慈堂病院,http://www.keiseikai-med.jp/group/jujidou/index.html,35.3961,139.5574,通常,通常,通常,なし
2020-03-19,秦野赤十字病院,http://hadano-jrc.jp/,35.3608,139.2294,通常,なし,通常,通常
2020-03-19,平塚市民病院,https://www.hiratsuka-city-hospital.jp/,35.3366,139.3253,通常,通常,通常,通常
2020-03-19,医療法人佐藤病院,http://www.satohospital.com/,35.4358,139.6147,通常,通常,通常,通常
2020-03-19,医療法人財団明理会　相原病院,https://aihara-hp.jp/,35.5989,139.3171,通常,通常,通常,なし
2020-03-19,厚木佐藤病院,http://www.touwakai.com/,35.4334,139.3121,一部制約あり,一部制約あり,通常,一部制約あり
2020-03-19,一般財団法人神奈川県警友会　けいゆう病院,http://www.keiyu-hospital.com/outline/gaiyo/,35.4594,139.6335,通常,通常,通常,通常
2020-03-19,医療法人社団望星会　鶴見西口病院,http://www.mtnet.jp/west-tsurumi/,35.504,139.6744,通常,通常,通常,なし
2020-03-19,汐田総合病院,https://www.ushioda.or.jp/,35.5298,139.6781,一部制約あり,一部制約あり,一部制約あり,一部制約あり
2020-03-19,社会福祉法人恩賜財団済生会支部神奈川県済生会　東神奈川リハビリテーション病院,http://higashikanagawa.saiseikai.or.jp/,35.4806,139.6307,通常,なし,通常,なし
2020-03-19,医療法人新光会　生田病院,http://www.ikuta-hp.jp/,35.6057,139.5253,通常,通常,通常,なし
2020-03-19,医療法人社団柏信会　青木病院,http://aoki-hospital.or.jp/,35.2925,139.591,通常,通常,通常,なし
2020-03-19,社会医療法人三栄会中央林間病院,https://www.hospital-crg.net/,35.5084,139.446,通常,通常,通常,通常
2020-03-19,恒春会馬嶋病院,http://majima-hospital.or.jp/,35.5244,139.6939,通常,通常,通常,なし
2020-03-19,新横浜こころのホスピタル,http://kyourinkai.com/kokoro/index.html,35.5054,139.6105,通常,なし,通常,なし
2020-03-19,医療法人弘徳会　愛光病院,http://www.aikou-hospital.or.jp/,35.4513,139.3565,通常,通常,通常,通常
2020-03-19,相模原友愛温泉病院,http://www.yuuai-byouinkai.or.jp/facilities/sagamihara/,35.5373,139.391,なし,なし,通常,なし
2020-03-19,公立大学法人　横浜市立大学附属病院,https://www.yokohama-cu.ac.jp/fukuhp/,35.3434,139.6512,通常,なし,通常,通常
2020-03-19,医療法人社団緑成会　横浜総合病院,https://yokoso.or.jp/,35.5702,139.5268,通常,通常,通常,通常
2020-03-19,横浜丘の上病院,http://okanouehospital.com/,35.4262,139.5722,通常,通常,通常,通常
2020-03-19,医療法人財団明理会　東戸塚記念病院,https://www.higashi-totsuka.com/,35.4317,139.5595,通常,通常,通常,通常
2020-03-19,藤沢市民病院,https://www.city.fujisawa.kanagawa.jp/hospital/,35.3507,139.482,通常,なし,通常,一部制約あり
2020-03-19,医療法人正史会　大和病院,http://yamato-hospital.or.jp/,35.479,139.4575,通常,通常,通常,通常
2020-03-19,医療法人社団仁和会　さがみ仁和会病院,http://www.jinwakai.com/,35.5773,139.3779,通常,通常,なし,通常
2020-03-19,医療法人社団健育会　湘南慶育病院,https://keiiku.gr.jp/,35.3908,139.4313,通常,通常,通常,通常
2020-03-19,医療法人社団白寿会　田名病院,https://www.tanabyouin.com/,35.5308,139.3546,通常,通常,通常,なし
2020-03-19,森下記念病院,http://www.morishita.or.jp/,35.5233,139.4365,なし,なし,なし,なし
2020-03-19,みどり野リハビリテーション病院,http://www.midorino-hp.jp/,35.5022,139.4455,通常,通常,通常,なし
2020-03-19,昭和大学横浜市北部病院,http://www.showa-u.ac.jp/SUHY/index.html,35.5466,139.57,通常,通常,通常,通常
2020-03-19,医療法人社団明芳会　横浜旭中央総合病院,https://www.ims-yokohama-asahi.jp/,35.5079,139.4975,通常,通常,通常,通常
2020-03-19,重症児・者福祉医療施設ソレイユ川崎,https://www.misasakai-soleil.com/,35.6219,139.5069,通常,通常,なし,なし
2020-03-19,医療法人社団恵生会　竹山病院,http://www.med-keiseikai.or.jp/take/,35.4959,139.5622,通常,通常,通常,なし
2020-03-19,社会福祉法人親善福祉協会　国際親善総合病院,https://shinzen.jp/,35.4256,139.51,通常,通常,通常,通常
2020-03-19,社会福祉法人恩賜財団済生会支部　神奈川県済生会　神奈川県病院,http://www.kanagawa.saiseikai.or.jp/,35.4808,139.6344,通常,なし,通常,通常
2020-03-19,医療法人社団三暉会　永井病院,http://www.nagai.or.jp/,35.2781,139.1816,通常,通常,通常,通常
2020-03-19,医療法人社団厚済会　横浜じんせい病院,https://www.yokohamajinsei.com/,35.401,139.5893,通常,通常,通常,なし
2020-03-19,小さき花の園,https://www.chiisaki.com/,35.3081,139.5009,通常,なし,一部制約あり,なし
2020-03-19,医療法人社団三成会　新百合ヶ丘総合病院,http://www.shinyuri-hospital.com/,35.6038,139.4991,通常,通常,通常,通常
2020-03-19,横浜田園都市病院,https://www.yd-hospital.gr.jp/,35.5255,139.4897,一部制約あり,なし,通常,なし
2020-03-19,東海大学大磯病院,https://www.tokai.ac.jp/oisohosp/,35.311,139.2751,通常,通常,通常,通常
2020-03-19,医療法人沖縄徳洲会　湘南厚木病院,https://www.shonan-atsugi.jp/,35.4327,139.3536,通常,通常,通常,通常
2020-03-19,国家公務員共済組合　連合会平塚共済病院,https://www.kkr.hiratsuka.kanagawa.jp/,35.338,139.338,通常,通常,通常,通常
2020-03-19,関東労災病院,https://www.kantoh.johas.go.jp/,35.5685,139.6568,通常,なし,通常,通常
2020-03-19,特定医療法人清輝会　国府津病院,http://www.seikikai.or.jp/,35.2835,139.1985,通常,通常,通常,なし
2020-03-19,平和病院,https://www.heiwakai.com/,35.5074,139.6653,通常,通常,通常,通常
2020-03-19,医療法人社団仁恵会　黒河内病院,https://kurokouchi.or.jp/,35.5287,139.4271,通常,通常,通常,通常
2020-03-19,医療法人社団清惠会　田村外科病院,http://tamurasurgical.jp/,35.5461,139.6918,通常,通常,一部制約あり,通常
2020-03-19,横浜東邦病院,http://www.yokohama-toho.jp/,35.4145,139.5978,通常,通常,通常,通常
2020-03-19,総合高津中央病院,https://www.takatsuhosp.or.jp/,35.6007,139.6133,通常,通常,通常,通常
2020-03-19,秦野病院,http://www.hatanohp.or.jp/,35.3857,139.1943,通常,通常,通常,なし
2020-03-19,医療法人沖縄徳洲会　湘南鎌倉総合病院,https://www.shonankamakura.or.jp/,35.3455,139.5151,通常,通常,通常,通常
2020-03-19,広瀬病院,http://www.hirose-hospital.com/,35.5941,139.3004,通常,通常,通常,通常
2020-03-19,横須賀市立市民病院,https://www.jadecom.or.jp/jadecomhp/yokosuka-shimin/html/,35.2227,139.6272,通常,通常,通常,通常
2020-03-19,湯河原胃腸病院,https://yugawara-icho.or.jp/,35.1435,139.1041,通常,通常,通常,通常
2020-03-19,医療法人藤誠会　佐藤病院,https://www.sato-hsp.jp/,35.3262,139.1534,通常,通常,通常,通常
2020-03-19,一般財団法人同友会　藤沢湘南台病院,http://www.fj-shonandai.jp/,35.417,139.4702,通常,通常,通常,通常
2020-03-19,国家公務員共済組合連合会横須賀共済病院,https://www.ykh.gr.jp/,35.277,139.6742,通常,通常,通常,通常
2020-03-19,一般財団法人育生会　横浜病院,http://ikuseikai-yokohama.com/,35.4406,139.5763,通常,通常,通常,なし
2020-03-19,医療法人横浜柏堤会　戸塚共立リハビリテーション病院,http://www.tkr-hospital.com/,35.4223,139.5009,通常,通常,通常,通常
2020-03-19,独立行政法人国立病院機構神奈川病院,http://kanagawa-hosp.jp/,35.3867,139.2301,通常,通常,通常,通常
2020-03-19,藤沢脳神経外科病院,http://www.fujisawanougeka.jp/,35.3203,139.4862,通常,通常,通常,通常
2020-03-19,赤枝病院,http://www.akaedakai.com/akaedahp/index.html,35.5015,139.5,通常,通常,通常,なし
2020-03-19,医療法人陽風会　高台病院,http://youfuukai.or.jp/,35.3499,139.1128,通常,通常,通常,なし
2020-03-19,医療法人社団神愛会　オアシス湘南病院,http://www.shinnaikai-medical.or.jp/,35.4197,139.3915,一部制約あり,なし,一部制約あり,なし
2020-03-19,医療法人社団景翠会　金沢病院,http://www.keisuikai.or.jp/,35.3372,139.6253,通常,通常,通常,通常
2020-03-19,神奈川県立足柄上病院,http://ashigarakami.kanagawa-pho.jp/,35.3459,139.1438,通常,なし,通常,通常
2020-03-19,ＡＯＩ国際病院,http://www.aoikai.jp/aoiuniversalhospital/,35.5334,139.7458,通常,通常,通常,通常
2020-03-19,鎌倉リハビリテーション聖テレジア病院,http://www.st-therese-hp.jp/,35.3081,139.5009,一部制約あり,なし,一部制約あり,なし
2020-03-19,医療法人社団総生会　麻生リハビリ総合病院,https://www.souseikai.net/rehabilitation,35.5845,139.4972,通常,通常,通常,なし
2020-03-19,藤沢病院,http://www.fhp.or.jp/,35.3344,139.5046,通常,通常,通常,なし
2020-03-19,宮川病院,http://www.miyagawa.or.jp/,35.5353,139.7252,通常,通常,通常,通常
2020-03-19,帝京大学医学部附属　溝口病院,http://teikyo-mizonokuchi.jp/,35.603,139.615,通常,通常,通常,通常
2020-03-19,東芝林間病院,http://www.rinkanhp.com/,35.5202,139.4417,通常,通常,通常,通常
2020-03-19,横浜掖済会病院,http://www.yokohama-ekisaikai.com/,35.4381,139.6346,通常,なし,通常,通常
2020-03-19,医療法人小林病院,http://www.kobayashihp.or.jp/,35.2536,139.1587,通常,通常,通常,通常
2020-03-19,横浜鶴ヶ峰病院,https://tsurugaminehospital.com/,35.4707,139.5542,一部制約あり,一部制約あり,一部制約あり,一部制約あり
2020-03-19,横浜カメリアホスピタル,http://www.camellia-yokohama.jp/,35.4976,139.5498,通常,通常,通常,なし
2020-03-19,厚木市立病院,https://www.atsugicity-hp.jp/,35.4489,139.3602,通常,通常,通常,通常
2020-03-19,重症心身障害児（者）施設横浜療育医療センター,http://www.jyuuairyouikukai.or.jp/yokoryo/home.html,35.4558,139.5643,通常,なし,なし,なし
2020-03-19,医療法人邦友会　小田原循環器病院,http://ojh.or.jp/,35.2883,139.1762,通常,通常,通常,通常
2020-03-19,宗教法人野村病院,http://nomura-byoin.jp/,35.4379,139.6272,通常,通常,通常,なし
2020-03-19,公益財団法人紫雲会　横浜病院,http://www.shiunkai.or.jp/,35.4813,139.606,通常,通常,通常,通常
2020-03-19,慈誠会病院,https://www.jiseikai.com/,35.5297,139.4344,通常,通常,通常,通常
2020-03-19,医療法人明和会　亀田病院,https://www.kameda-hp.jp/,35.4555,139.6239,通常,通常,通常,通常
2020-03-19,医療法人横浜柏堤会　戸塚共立第２病院,https://www.tk2-hospital.com/,35.4053,139.5378,通常,通常,通常,通常
2020-03-19,医療法人社団一真会　座間厚生病院,http://www.zamaayase-ishikai.or.jp/publics/index/17/,35.4903,139.4193,通常,通常,一部制約あり,なし
2020-03-19,医療法人社団総生会　麻生総合病院,https://www.souseikai.net/general,35.5858,139.4966,通常,通常,通常,通常
2020-03-19,独立行政法人　地域医療機能推進機構相模野病院,https://sagamino.jcho.go.jp/,35.5729,139.3886,通常,なし,通常,通常
2020-03-19,聖マリアンナ医科大学　東横病院,http://marianna-toyoko.jp/,35.5747,139.6577,通常,通常,通常,通常
2020-03-19,医療法人社団博慈会　青葉さわい病院,https://www.aoba-sawai.or.jp/,35.5731,139.5383,通常,通常,通常,通常
2020-03-19,公益財団法人積善会　日向台病院,http://www.hinatadai.com/,35.4592,139.5565,通常,通常,通常,なし
2020-03-19,市ヶ尾病院,https://ichigaohp.jp/,35.548,139.54,通常,通常,通常,なし
2020-03-19,医療法人社団増田厚生会清川遠寿病院,http://kiyokawa-enjyu.com/,35.49,139.2734,停止,停止,一部制約あり,なし
2020-03-19,医療法人回生会　ふれあい横浜ホスピタル,https://www.fureai-g.or.jp/fyh/,35.4423,139.6355,通常,通常,通常,通常
2020-03-19,医療法人沖縄徳洲会　日野病院,https://www.tokushukai.or.jp/introduction/facility/hp-hino,35.3985,139.5795,通常,通常,通常,なし
2020-03-19,医療法人丹沢病院,https://www.tanzawahp.or.jp/,35.3908,139.1829,通常,通常,通常,通常
2020-03-19,藤沢御所見病院,http://www.goshomi.jp/,35.3943,139.4086,通常,通常,通常,通常
2020-03-19,メンタルホスピタルかまくら山,https://mumingroup.jp/kamakurayama/,35.3176,139.5243,通常,なし,通常,なし
2020-03-19,国家公務員共済組合　連合会　横浜南共済病院,https://www.minamikyousai.jp/,35.3209,139.6223,通常,なし,通常,通常
2020-03-19,社会福祉法人恩賜財団済生会支部　神奈川県済生会　若草病院,http://www.wakakusa.saiseikai.or.jp/,35.3323,139.6312,通常,なし,通常,通常
2020-03-19,医療法人社団清風会　富士見台病院,http://www.fujimidai-hospital.jp/,35.3478,139.2742,通常,通常,通常,通常
2020-03-19,横浜医療福祉センター港南,http://10ai-konan.jp/index.html,35.3719,139.5734,通常,通常,通常,なし
2020-03-19,医療法人養生院　清川病院,http://www.kiyokawa-hp.or.jp/,35.3213,139.5542,通常,通常,通常,通常
2020-03-19,社会福祉法人湘南福祉協会総合病院湘南病院,http://www.shonanhp.or.jp/,35.3159,139.6242,通常,通常,通常,一部制約あり
2020-03-19,医療法人徳洲会　　茅ヶ崎徳洲会病院,https://www.chigasakitokushukai.jp/,35.331,139.4127,通常,通常,通常,通常
2020-03-19,横浜いずみ台病院,http://izumidai.net/,35.4357,139.498,通常,通常,通常,なし
2020-03-19,医療法人社団三喜会　鶴巻温泉病院,http://www.sankikai.or.jp/tsurumaki/,35.3829,139.2797,一部制約あり,なし,通常,なし
2020-03-19,医療法人社団育成会　鹿島田病院,https://www.kashimada-h.com/,35.5528,139.6754,通常,通常,通常,なし
2020-03-19,湘南さくら病院,https://www.fureai-g.or.jp/sakura/,35.3657,139.4112,通常,なし,通常,なし
2020-03-19,医療法人社団正慶会　栗田病院,http://www.kurita-hp.com/,35.5399,139.6671,通常,通常,通常,通常
2020-03-19,独立行政法人　地域医療機能推進機構　湯河原病院,https://yugawara.jcho.go.jp/,35.1444,139.0785,通常,通常,通常,通常
2020-03-19,医療法人芳生会　保土ヶ谷病院,https://www.hodogaya-hp.jp/,35.4866,139.5522,通常,通常,通常,なし
2020-03-19,神奈川県立がんセンター,http://kcch.kanagawa-pho.jp/,35.4682,139.5262,通常,なし,通常,なし
2020-03-19,総合川崎臨港病院,http://rinko.or.jp/,35.5262,139.7173,通常,通常,通常,通常
2020-03-19,医療法人相愛会　相愛病院,http://souai-hp.or.jp/,35.525,139.375,なし,なし,通常,なし
2020-03-19,医療法人愛生会　三ツ境病院,http://www.mitu.or.jp/,35.4652,139.5022,通常,通常,通常,なし
2020-03-19,渕野辺総合病院,http://www.sowa.or.jp/fuchinobe/,35.5716,139.3921,通常,通常,通常,通常
2020-03-19,神奈川県厚生農業協同組合連合会　伊勢原協同病院,http://www.iseharahp.com/,35.4031,139.3162,通常,通常,通常,通常
2020-03-19,大内病院,http://oouchi-hp.com/,35.3133,139.116,一部制約あり,一部制約あり,一部制約あり,一部制約あり
2020-03-19,特定医療法人社団湘南健友会　長岡病院,http://www.nagaoka-hp.com/,35.3753,139.4264,通常,なし,通常,なし
2020-03-19,大倉山記念病院,https://omh.or.jp/,35.5256,139.6335,通常,通常,通常,通常
2020-03-19,磯子中央病院,http://www.isogohp.jp/,35.4071,139.6215,一部制約あり,一部制約あり,一部制約あり,一部制約あり
2020-03-19,緑協和病院,http://midorikyouwahp.com/,35.5658,139.4802,通常,通常,通常,通常
2020-03-19,医療法人湘和会　湘南記念病院,http://www.syonankinenhp.or.jp/,35.3295,139.5172,通常,通常,通常,通常
2020-03-19,医療法人社団哺育会　横浜相原病院,http://www.yokohama-aihara.jp/,35.4467,139.5035,一部制約あり,なし,通常,通常
2020-03-19,古川病院,http://furukawa-hospital.com/,35.486,139.6556,一部制約あり,一部制約あり,一部制約あり,なし
2020-03-19,公益財団法人明徳会　清水ヶ丘病院,https://simizugaoka-hp.jimdofree.com/,35.4397,139.6117,通常,なし,通常,なし
2020-03-19,特定医療法人社団研精会　箱根リハビリテーション病院,https://www.kensei-hakone.com/,35.265,139.0178,通常,なし,通常,なし
2020-03-19,医療法人社団早雲会　相模湖病院,https://sounkai.com/sagamiko_hp/,35.5923,139.2042,一部制約あり,なし,一部制約あり,なし
2020-03-19,愛川北部病院,http://hokubu.or.jp/hp/,35.5303,139.3219,通常,通常,通常,通常
2020-03-19,日吉病院,http://hiyoshi-hp.com/,35.5549,139.6411,通常,通常,通常,なし
2020-03-19,医療法人積愛会　横浜舞岡病院,http://www.y-maiokahp.or.jp/index_maioka.html,35.4101,139.5527,通常,通常,通常,なし
2020-03-19,医療法人社団晃進会　川崎みどりの病院,http://k-midorino.or.jp/,35.5877,139.5246,通常,通常,通常,なし
2020-03-19,南大和病院,http://www.minamiyamato-hosp.or.jp/,35.4331,139.4695,一部制約あり,一部制約あり,一部制約あり,一部制約あり
2020-03-19,神奈川歯科大学附属病院,http://www.kdu.ac.jp/hospital/,35.2848,139.6704,一部制約あり,一部制約あり,一部制約あり,一部制約あり
